,ASV00001,ASV00002,ASV00003,ASV00004,ASV00005,ASV00006,ASV00007,ASV00008,ASV00009,ASV00010,ASV00011,ASV00012,ASV00013,ASV00014,ASV00015,ASV00016,ASV00017,ASV00018,ASV00019,ASV00020,ASV00021,ASV00022,ASV00023,ASV00024,ASV00025,ASV00026,ASV00027,ASV00028,ASV00029,ASV00030,ASV00031,ASV00032,ASV00033,ASV00034,ASV00035,ASV00036,ASV00037,ASV00038,ASV00039,ASV00040,ASV00041,ASV00042,ASV00043,ASV00044,ASV00045,ASV00046,ASV00047,ASV00048,ASV00049,ASV00050,ASV00051,ASV00052,ASV00053,ASV00054,ASV00055,ASV00056,ASV00057,ASV00058,ASV00059,ASV00060,ASV00061,ASV00062,ASV00063,ASV00064,ASV00065,ASV00066,ASV00067,ASV00068,ASV00069,ASV00070,ASV00071,ASV00072,ASV00073,ASV00074,ASV00075,ASV00076,ASV00077,ASV00078,ASV00079,ASV00080,ASV00081,ASV00082,ASV00083,ASV00084,ASV00085,ASV00086,ASV00087,ASV00088,ASV00089,ASV00090,ASV00091,ASV00092,ASV00093,ASV00094,ASV00095,ASV00096,ASV00097,ASV00098,ASV00099,ASV00100,ASV00101,ASV00102,ASV00103,ASV00104,ASV00105,ASV00106,ASV00107,ASV00108,ASV00109,ASV00110,ASV00111,ASV00112,ASV00113,ASV00114,ASV00115,ASV00116,ASV00117,ASV00118,ASV00119,ASV00120,ASV00121,ASV00122,ASV00123,ASV00124,ASV00125,ASV00126,ASV00127,ASV00128,ASV00129,ASV00130,ASV00131,ASV00132,ASV00133,ASV00134,ASV00135,ASV00136,ASV00137,ASV00138,ASV00139,ASV00140,ASV00141,ASV00142,ASV00143,ASV00144,ASV00145,ASV00146,ASV00147,ASV00148,ASV00149,ASV00150,ASV00151,ASV00152,ASV00153,ASV00154,ASV00155,ASV00156,ASV00157,ASV00158,ASV00159,ASV00160,ASV00161,ASV00162,ASV00163,ASV00164,ASV00165,ASV00166,ASV00167,ASV00168,ASV00169,ASV00170,ASV00171,ASV00172,ASV00173,ASV00174,ASV00175,ASV00176,ASV00177,ASV00178,ASV00179,ASV00180,ASV00181,ASV00182,ASV00183,ASV00184,ASV00185,ASV00186,ASV00187,ASV00188,ASV00189,ASV00190,ASV00191,ASV00192,ASV00193,ASV00194,ASV00195,ASV00196,ASV00197,ASV00198,ASV00199,ASV00200,ASV00201,ASV00202,ASV00203,ASV00204,ASV00205,ASV00206
LSSP-08,0.00280144741449749,0.00303490136570561,0.00116726975604062,0.0135403291700712,0.00688689156063966,0.0274308392669546,0.000700361853624373,0.0731878137037469,0.00361853624372593,0,0.00455235204855842,0.00140072370724875,0.00933815804832497,0.00116726975604062,0.168437025796662,0.00688689156063966,0,0.000933815804832497,0.0403875335590055,0.000700361853624373,0.0101552468775534,0.000583634878020311,0.0043188980973503,0.0137737831212793,0,0.00385199019493405,0,0.00186763160966499,0.00618652970701529,0,0.00128399673164468,0.00280144741449749,0.295202521302673,0.0667678300455235,0.000350180926812186,0,0.00221781253647718,0,0.00396871717053811,0.000466907902416248,0.0220613983891677,0.0107388817555737,0,0.0126065133652387,0.000233453951208124,0,0.00501925995097467,0.065834014240691,0.000817088829228435,0.00128399673164468,0,0,0.00151745068285281,0,0.000933815804832497,0.0255632076572896,0.00151745068285281,0,0.000466907902416248,0,0.000583634878020311,0.0024512664876853,0.00116726975604062,0.00571962180459904,0.0024512664876853,0.000933815804832497,0,0,0,0.000350180926812186,0.000817088829228435,0,0.000466907902416248,0,0.000933815804832497,0,0.000583634878020311,0,0.000466907902416248,0,0,0,0.000233453951208124,0.000233453951208124,0.0154079607797362,0.000933815804832497,0,0.00186763160966499,0,0,0.00105054278043656,0,0.000817088829228435,0.000350180926812186,0.000350180926812186,0.000466907902416248,0.000466907902416248,0.000350180926812186,0.0182094081942337,0.000233453951208124,0,0.000350180926812186,0,0,0.000233453951208124,0.000116726975604062,0,0,0,0,0.000233453951208124,0,0,0,0,0.000233453951208124,0.000350180926812186,0,0,0,0,0,0.00501925995097467,0.000350180926812186,0,0,0.000700361853624373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00280144741449749,0,0,0,0,0,0,0,0,0,0.000350180926812186,0,0,0,0,0,0.000466907902416248,0,0,0,0.000466907902416248,0,0,0.000583634878020311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000233453951208124,0.000350180926812186,0,0,0,0.000350180926812186,0,0,0,0,0.000350180926812186
GRP-17,0.00166147455867082,0.00186915887850467,0.00083073727933541,0.0771547248182762,0.00311526479750779,0.00186915887850467,0.000415368639667705,0.0268951194184839,0.00207684319833853,0,0,0,0.00083073727933541,0,0.0727933541017653,0.00103842159916926,0,0,0.00134994807892004,0,0.000207684319833853,0,0,0.00155763239875389,0,0.00259605399792316,0.00166147455867082,0,0.000207684319833853,0,0.00114226375908619,0.000207684319833853,0.332191069574247,0.0078920041536864,0,0,0.000311526479750779,0,0,0,0,0.00218068535825545,0,0.000934579439252337,0.000415368639667705,0.000311526479750779,0.00166147455867082,0.0227414330218069,0,0,0.0252336448598131,0,0,0,0,0,0,0,0,0,0,0,0,0.00124610591900312,0,0.000311526479750779,0,0,0,0,0,0,0,0,0.00384215991692627,0,0.0019730010384216,0,0.000207684319833853,0,0.00176531671858775,0.000311526479750779,0.000415368639667705,0,0.000415368639667705,0.000207684319833853,0,0,0,0,0,0,0,0,0.000207684319833853,0,0,0,0.00488058151609553,0.000207684319833853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369366562824507,0,0.000207684319833853,0,0,0,0.00114226375908619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00083073727933541,0,0,0.000207684319833853,0,0,0,0,0,0,0,0,0.000207684319833853,0.000207684319833853,0,0,0,0,0,0,0.0179646936656282,0,0,0,0,0.000311526479750779,0,0.000207684319833853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBC-23,0,0,0,0.000179147259046937,0,0.0408007882479398,0,0.126388391257614,0,0,0,0,0,0,0.00546399140093157,0,0,0,0,0,0,0,0,0.000447868147617341,0,0,0,0,0,0,0,0,0.00201540666427804,0.628448584736654,0,0,0,0,0,0,0,0.000403081332855607,0,0,0,0,0,0.000268720888570405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194509136510211,0,0.000985309924758151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.95736295234683E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRP-25,0.101603652112841,0.00241913457411526,0.000663311092902571,0.211557220336338,0.00819384291232588,0.0104178859885286,0.000780365991650084,0.0580592297787662,0.00421397635491045,0,0,0,0.00916930040188849,0,0.164735260837333,0.00241913457411526,0.00101447578914511,0.000195091497912521,0.00132662218580514,0.000663311092902571,0.00156073198330017,0,0.00152171368371766,0.00483826914823052,0,0.0115494166764212,0.0028093175699403,0.000624292793320067,0.000975457489562605,0,0.0028093175699403,0.000546256194155059,0.197354559288306,0.0375746224979515,0.00101447578914511,0,0.00105349408872761,0,0.000897420890397597,0.000390182995825042,0.00191189667954271,0.00140465878497015,0.000156073198330017,0.0027702992703578,0.00046821959499005,3.90182995825042E-05,0.00429201295407546,0.0306683834718483,0.00046821959499005,0.000234109797495025,0.004643177650318,0,7.80365991650084E-05,0.000117054898747513,0,0.000897420890397597,0,0,0,0,0.000897420890397597,0.000624292793320067,0,0.00487728744781303,0.000819384291232588,0.00222404307620274,0,0,0,0.000156073198330017,0.00152171368371766,0,0,0,0.00191189667954271,7.80365991650084E-05,0.00202895157829022,7.80365991650084E-05,0.000351164696242538,0.000585274493737563,0.00152171368371766,0.00101447578914511,3.90182995825042E-05,0.000117054898747513,0.00195091497912521,0.000702329392485076,0.000156073198330017,0.000858402590815092,0,7.80365991650084E-05,0,0,0,0.000351164696242538,0,0.000156073198330017,0,7.80365991650084E-05,0.0126809473643139,0.00046821959499005,0.000624292793320067,0,0,0,0.000117054898747513,0,0,0.000156073198330017,0.000585274493737563,0,0.000546256194155059,0.000156073198330017,7.80365991650084E-05,0.000507237894572555,7.80365991650084E-05,0.000234109797495025,7.80365991650084E-05,0,0,0.000195091497912521,0,7.80365991650084E-05,0.0474852705919076,3.90182995825042E-05,0.000156073198330017,0,7.80365991650084E-05,0,0.00308244566701783,0.000234109797495025,0.00702329392485076,0,0,0,0,0.000156073198330017,0,7.80365991650084E-05,0,0,0,0.000117054898747513,0.000936439189980101,0,0.000390182995825042,0,0,0,3.90182995825042E-05,0,0,0,0,0,0,7.80365991650084E-05,0.000156073198330017,0.000117054898747513,0,0.000273128097077529,0,0,3.90182995825042E-05,0,0.000234109797495025,0,0,0,0,0,0.000390182995825042,0.000897420890397597,0,0,0.000351164696242538,7.80365991650084E-05,7.80365991650084E-05,0,3.90182995825042E-05,0.00546256194155059,0.000273128097077529,0,0,0,0,0,0.000546256194155059,0,0,0,0,7.80365991650084E-05,0,0,0,0.000156073198330017,0,0,7.80365991650084E-05,0,0,0,0,0,0,0
WBC-20,0,0,0,0.436317244312141,0,0.00212630236019562,0,0.0161244595648168,0.000212630236019562,0,0,0,7.0876745339854E-05,0,0.00584733149053796,0,0,0,0,0,0,0,0,0.0217591608193352,0,0,0,0,0,0,0,0,0.0340208377631299,0.22350981642923,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0876745339854E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04369551350202,0,0.216138634913885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000106315118009781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRP-05,0.0491471035298092,0.000675561560547205,0,0.227157574733998,0.00337780780273602,0.00489782131396724,0.000337780780273602,0.0293869278838034,0.00320891741259922,0.000337780780273602,0,0,0.00253335585205202,0,0.10403648032427,0.00135112312109441,0,0,0.00101334234082081,0,0,0,0.000844451950684006,0.00337780780273602,0,0.00118223273095761,0.00101334234082081,0,0.000675561560547205,0,0.00118223273095761,0,0.321398412430333,0.0239824353994258,0,0,0,0,0,0,0,0.00135112312109441,0,0.00152001351123121,0.000506671170410404,0,0.00236446546191522,0.0398581320722851,0,0.000337780780273602,0.0157068062827225,0,0,0,0,0,0.000337780780273602,0,0,0,0,0,0,0.00371558858300963,0,0.000506671170410404,0,0,0,0,0,0,0,0,0.00709339638574565,0,0.00118223273095761,0,0,0,0.00152001351123121,0,0.000337780780273602,0,0.00135112312109441,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00624894443506165,0,0,0,0,0,0.000337780780273602,0,0,0,0,0,0.000844451950684006,0,0,0,0,0,0.000337780780273602,0,0,0,0,0,0.116872149974666,0,0.000337780780273602,0,0,0,0.00168890390136801,0.000506671170410404,0.00118223273095761,0,0,0,0,0,0,0,0,0,0,0,0.000675561560547205,0,0,0,0,0,0,0,0,0,0,0,0,0.000506671170410404,0,0,0,0,0,0,0.000844451950684006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103023137983449,0,0.000506671170410404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRP-01,0.156594763708217,0.000274438772709808,0.000384214281793732,0.139744223063834,0.00642186728140952,0.00285416323618201,0.000878204072671387,0.02574235688018,0.00894670399033976,0,0,0.000768428563587464,0.00384214281793732,0,0.0997310500027444,0.000109775509083923,0,0,0.0025797244634722,0.000439102036335694,0.00812338767221033,0,0.000768428563587464,0.00126241835446512,0,0.000548877545419617,0,0,0.00757451012679071,0,0.00109775509083923,0.000768428563587464,0.350403424995883,0.0703661013227949,0.00032932652725177,0,0,0,0.0011526428453812,0,0.000164663263625885,0.00197595916351062,0.000219551018167847,0.00345792853614359,0.000109775509083923,0.000109775509083923,0.000768428563587464,0.00389703057247928,0.00148196937263297,0.000603765299961579,0.00620231626324167,0,0,0,0.000493989790877655,0.000439102036335694,0,0,0,0,0.000109775509083923,0.0025797244634722,0,0.00455568362698282,0.000384214281793732,0.0111422141720182,0,0,0,0.000164663263625885,0.000933091827213349,0,0,0,0.00065865305450354,0,0.000878204072671387,0,0,0.000493989790877655,0,0.00032932652725177,0.000219551018167847,0.000109775509083923,0.000274438772709808,0.000274438772709808,0,0,0,0,0,0,0,0.000164663263625885,0.000109775509083923,0,0.000274438772709808,0,0.0044459081178989,0.000109775509083923,0.000109775509083923,0,0,0,0.000274438772709808,0,0,0.000109775509083923,0.00120753059992316,0,0.000164663263625885,0,0.000274438772709808,0,0,0.00032932652725177,0.00032932652725177,0,0.000274438772709808,0,0,0,0.0077391733904166,0.000109775509083923,0,0,0,0,0.000878204072671387,0.00126241835446512,0.00439102036335694,0,0,0,0,0,0,0.000109775509083923,0,0,0,0.000109775509083923,0.000164663263625885,0,0,0,0,0,0.000439102036335694,0,0,0,0,0,0,0,0,0,0.000274438772709808,0,0,5.48877545419617E-05,0,0,0.000439102036335694,0,0.000109775509083923,0,0,0,0,0.00065865305450354,0.00417146934518909,0,0,0,0,0,0,0.0359514792249849,0,0,0,0,0.000109775509083923,0,0,0,0,0,0,0,0,0,0,0.000109775509083923,0,0,0,0,0,0,0,0,0,0
WBC-03,0,0,0,0.264991452991453,0,0.000512820512820513,0,0.0466666666666667,0.000170940170940171,0,0,0,0,0,0.00762393162393162,0,0,0,0,0,0,0,0,0.27548717948718,0,0,0,0,0,0,0,0,0.0116923076923077,0.120957264957265,0,0,0,0,0,0,0,0,0,0,0,0,6.83760683760684E-05,0.0708376068376068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200410256410256,0,0.000581196581196581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRP-22,0.0148578811369509,0.00116279069767442,0.000516795865633075,0.0709302325581395,0.00581395348837209,0.00736434108527132,0.000387596899224806,0.0811369509043928,0.0143410852713178,0,0,0,0.00232558139534884,0,0.266279069767442,0.00310077519379845,0,0,0,0,0,0,0.000775193798449612,0.00129198966408269,0,0.00400516795865633,0.00129198966408269,0.000516795865633075,0.00271317829457364,0,0.00142118863049096,0.000387596899224806,0.266020671834625,0.0708010335917313,0,0,0,0,0,0,0.000516795865633075,0.00142118863049096,0,0.000904392764857881,0.000258397932816537,0.000387596899224806,0.00465116279069767,0.124031007751938,0,0,0.00167958656330749,0,0,0.000258397932816537,0,0,0.000516795865633075,0,0,0,0.000258397932816537,0,0.000258397932816537,0.00452196382428941,0,0.00284237726098191,0,0,0,0,0.000775193798449612,0.000258397932816537,0,0,0,0,0,0,0,0,0.00129198966408269,0.000387596899224806,0,0,0.000516795865633075,0.000387596899224806,0,0,0,0,0,0,0,0.000258397932816537,0,0,0,0,0.00994832041343669,0,0,0,0,0,0,0,0,0,0.000387596899224806,0,0,0,0.000387596899224806,0.000516795865633075,0,0,0,0,0,0,0,0,0.0158914728682171,0,0.000258397932816537,0,0,0,0,0,0.00387596899224806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000258397932816537,0,0,0,0,0,0,0,0,0,0,0.000387596899224806,0,0,0.000516795865633075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00348837209302326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000258397932816537,0,0,0,0,0,0,0
WBC-07,3.95780974808541E-05,3.95780974808541E-05,0,3.95780974808541E-05,0.000118734292442562,0.000118734292442562,0,0.00348287257831516,0.000118734292442562,0,0,0,0,0,0.0325134070805216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00100924148576178,0.563354639542477,0,0,0,0,0,0,0,0,0,0,0,0,0.000158312389923416,0.00647101893811965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392100211742822,0,0,0,0,0,0,0,0,0,0,0,0,7.91561949617082E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000257257633625552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89452437021352E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
