# File S1. Bacterial ASV abundance table and taxonomic annotation for 28 coral colonies at baseline/control conditions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ICN_G01,ICN_G02,ICN_G03,ICN_G04,ICN_G05,ICN_G06,ICN_G07,AF_G01,AF_G02,AF_G03,AF_G04,AF_G05,AF_G06,AF_G07,ExT_G01,PrT_G01,ExT_G02,PrT_G02,ExT_G03,PrT_G03,ExT_G04,PrT_G04,ExT_G05,PrT_G05,ExT_G06,PrT_G06,ExT_G07,PrT_G07,Phylum,Class,Order,Family,Genus,Species
ASV0001,970,1462,6935,401,958,210,22154,816,0,394,517,543,222,813,161,13715,0,8484,0,33609,0,14494,0,4027,20,300,0,1788,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA
ASV0002,126,0,130,178,381,643,0,9505,3414,3018,3743,3514,4704,8273,750,139,5486,704,443,177,892,187,4872,993,1995,3837,1714,1797,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,NA,NA
ASV0003,25434,16972,18748,2751,17905,2617,14613,1105,72,621,1341,1196,256,1905,0,0,0,0,0,0,0,151,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA
ASV0004,0,0,0,198,215,0,0,3307,878,521,2575,821,510,1957,2928,472,527,874,6613,1943,4069,1166,657,2091,2523,2439,1970,2175,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA
ASV0005,10820,10617,8641,696,6297,1207,8540,264,16,247,519,490,113,964,0,175,0,0,0,0,25,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA
ASV0006,50,0,80,0,0,0,84,636,64,102,533,151,99,393,2953,507,961,1215,5273,1068,2813,1310,1082,2620,3077,3603,3440,4344,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA
ASV0007,388,501,2398,141,297,73,7921,275,0,142,182,217,0,313,65,5107,0,3005,0,11746,0,5296,0,1564,0,96,0,544,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA
ASV0008,44,0,0,0,127,248,37,2781,1155,1073,1341,1281,1824,2969,307,0,2014,242,169,0,296,0,1767,385,724,1280,652,576,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
ASV0009,307,411,2188,111,295,54,6642,194,0,98,154,173,0,254,0,3962,0,2611,0,9940,0,4378,0,1338,0,80,0,484,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA
ASV0010,0,0,38,85,0,0,0,556,82,131,433,163,106,322,2947,490,838,1130,5024,1103,2416,1098,948,1845,2561,2981,2915,3215,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA
ASV0011,8976,6198,6480,1028,6040,876,5166,314,0,216,499,414,87,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA
ASV0012,0,0,0,0,111,206,0,2589,1000,895,1172,1131,1545,2442,223,0,1800,230,148,0,233,0,1428,366,642,1064,478,543,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
