# File S3. Bacterial family abundance table for 28 coral colonies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0319-6G20,37-13,67-14,A0839,AB1,AEGEAN-169_marine_group,AKAU3564_sediment_group,Acanthopleuribacteraceae,Acetobacteraceae,Actinomarinaceae,Actinomycetaceae,Aerococcaceae,Aeromonadaceae,Alcanivoracaceae,Algiphilaceae,Alicyclobacillaceae,Alteromonadaceae,Amoebophilaceae,Anaplasmataceae,Aquaspirillaceae,Arcobacteraceae,Ardenticatenaceae,Arenicellaceae,Armatimonadaceae,Azospirillaceae,BD2-7,Babeliaceae,Bacillaceae,Bacteriovoracaceae,Bacteroidaceae,Balneolaceae,Barnesiellaceae,Bdellovibrionaceae,Beijerinckiaceae,Bernardetiaceae,Bifidobacteriaceae,Blastocatellaceae,Blfdi19,Bogoriellaceae,Brevibacteriaceae,Burkholderiaceae,Caldilineaceae,Calditrichaceae,Campylobacteraceae,Campylobacterales_Incertae_Sedis,Carnobacteriaceae,Caulobacteraceae,Cellvibrionaceae,Chitinibacteraceae,Chitinivibrionaceae,Chitinophagaceae,Chlamydiaceae,Chlorobiaceae,Christensenellaceae,Chromatiaceae,Chromobacteriaceae,Clade_I,Clade_II,Clade_III,Clostridiaceae,Clostridiaceae_1,Clostridiaceae_4,Clostridiales_vadinBB60_group,Colwelliaceae,Corynebacteriaceae,Coxiellaceae,Criblamydiaceae,Crocinitomicaceae,Cryomorphaceae,Cyclobacteriaceae,DEV007,Deinococcaceae,Dermabacteraceae,Dermacoccaceae,Desulfarculaceae,Desulfobacteraceae,Desulfobulbaceae,Desulfonatronaceae,Desulfovibrionaceae,Desulfuromonadaceae,Devosiaceae,Dietziaceae,Diplorickettsiaceae,Dongiaceae,Dysgonomonadaceae,EF100-94H03,Ectothiorhodospiraceae,Eel-36e1D6,Endozoicomonadaceae,Enterobacteriaceae,Entotheonellaceae,Erysipelotrichaceae,Eubacteriaceae,Family_X,Family_XI,Family_XII,Fimbriimonadaceae,Flammeovirgaceae,Flavobacteriaceae,Fodinicurvataceae,Francisellaceae,Frankiaceae,Fusobacteriaceae,Gaiellaceae,Geminicoccaceae,Gemmataceae,Gemmatimonadaceae,Geodermatophilaceae,Gimesiaceae,Haliangiaceae,Halieaceae,Halobacteroidaceae,Halomonadaceae,Helicobacteraceae,Holosporaceae,Hydrogenedensaceae,Hydrogenophilaceae,Hymenobacteraceae,Hyphomicrobiaceae,Hyphomonadaceae,Iamiaceae,Idiomarinaceae,Ilumatobacteraceae,Intrasporangiaceae,Isosphaeraceae,JG30-KF-CM45,Kiloniellaceae,Kineosporiaceae,Kordiimonadaceae,Labraceae,Lachnospiraceae,Lactobacillaceae,Legionellaceae,Leptospiraceae,Leptotrichiaceae,Litoricolaceae,Longimicrobiaceae,Magnetospiraceae,Magnetospirillaceae,Marinifilaceae,Marinilabiliaceae,Marinobacteraceae,Marinomonadaceae,Methylococcaceae,Methyloligellaceae,Methylophagaceae,Methylophilaceae,Micavibrionaceae,Microbacteriaceae,Microbulbiferaceae,Micrococcaceae,Micromonosporaceae,Microscillaceae,Microtrichaceae,Midichloriaceae,Moraxellaceae,Moritellaceae,Mycobacteriaceae,NS11-12_marine_group,NS9_marine_group,Nannocystaceae,Neisseriaceae,Nisaeaceae,Nitrincolaceae,Nitrosococcaceae,Nitrosomonadaceae,Nitrosopumilaceae,Nitrospiraceae,Nocardiaceae,Nocardioidaceae,Nocardiopsaceae,Oceanibaculaceae,Oleiphilaceae,Oligoflexaceae,Omnitrophaceae,P3OB-42,PS1_clade,Paenibacillaceae,Paludibacteraceae,Paracaedibacteraceae,Parachlamydiaceae,Parvibaculaceae,Parvularculaceae,Pasteurellaceae,Pedosphaeraceae,Peptococcaceae,Peptostreptococcaceae,Phycisphaeraceae,Pirellulaceae,Piscirickettsiaceae,Planococcaceae,Polyangiaceae,Porticoccaceae,Prevotellaceae,Prolixibacteraceae,Promicromonosporaceae,Propionibacteriaceae,Pseudoalteromonadaceae,Pseudohongiellaceae,Pseudomonadaceae,Pseudonocardiaceae,Psychromonadaceae,Puniceispirillales_Incertae_Sedis,Reyranellaceae,Rhizobiaceae,Rhizobiales_Incertae_Sedis,Rhodanobacteraceae,Rhodobacteraceae,Rhodocyclaceae,Rhodopirillaceae,Rhodospirillaceae,Rhodothermaceae,Rickettsiaceae,Rikenellaceae,Roseiflexaceae,Rs-M59_termite_group,Rubinisphaeraceae,Rubritaleaceae,Rubrobacteriaceae,Ruminococcaceae,SAR116_clade,SM2D12,SS1-B-06-26,Saccharimonadaceae,Saccharospirillaceae,Salinisphaeraceae,Sandaracinaceae,Saprospiraceae,Schlesneriaceae,Shewanellaceae,Simkaniaceae,Sneathiellaceae,Solibacteraceae_(Subgroup_3),Solimonadaceae,Sphingomonadaceae,Spirochaetaceae,Spirosomaceae,Spongiibacteraceae,Sporichthyaceae,Staphylococcaceae,Stappiaceae,Steroidobacteraceae,Streptococcaceae,Streptomycetaceae,Streptosporangiaceae,Sulfurospirillaceae,Syntrophobacteraceae,TRA3-20,Tannerellaceae,Temperatibacteraceae,Tepidisphaeraceae,Terasakiellaceae,Thalassospiraceae,Thermaceae,Thermoactinomycetaceae,Thermoanaerobaculaceae,Thermopetrobacteraceae,Thioalkalispiraceae,Thiohalorhabdaceae,Thiovulaceae,UBA12409,UBA12411,Unknown_Family,Veillonellaceae,Vermiphilaceae,Vibrionaceae,Woeseiaceae,Xanthobacteraceae,Xanthomonadaceae,bacteriap25,cvE6,env.OPS_17,mle1-27
ICN_G01,11,6,0,0,0,0,0,0,0,0,14,0,0,0,0,0,50,0,0,0,28,0,0,0,0,0,0,59,110,0,0,0,0,338,0,0,0,0,0,0,321,0,0,27,0,0,66,0,0,0,43,3,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,58167,19,0,13,0,0,11,0,12,0,97,0,16,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,22,0,0,0,6,0,228,0,96,0,0,0,0,75,0,0,6,0,0,15,0,21,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0,26,0,0,0,0,0,11,0,274,167,0,227,0,0,0,8,7,0,0,0,0,0,9,0,0,13,0,0,0,0,0,40,0,0,0,0,160,0,0,0,0,0,24,0,0,0,165,0,0,0,16,47,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,16,0,0,208,0,22,90,0,0,0,0
ICN_G02,23,0,0,0,0,0,0,0,17,0,0,0,0,4,0,0,43,0,0,8,0,0,0,0,0,0,0,30,108,0,0,0,8,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,6,0,0,7,0,0,0,97,0,0,0,0,11,0,0,0,13,0,0,10,0,0,0,0,24,0,0,0,0,0,0,43578,26,0,0,0,17,125,0,0,0,88,0,0,0,11,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,20,0,0,0,25,6,0,0,0,0,0,0,0,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,196,0,0,13,0,105,0,18,0,0,0,6,0,0,0,0,0,0,0,23,0,0,0,12,0,0,0,0,0,10,0,0,0,0,0,0,18,0,51,8,0,0,0,0,0,0,175,22,0,22,0,0,0,0,180,0,0,2334,24,0,7,0,10,0,0,0,0,0,0,69,0,0,0,0,0,0,8,0,0,0,237,0,6,0,9,4,0,0,26,74,132,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,46,0,0,0,0,0,0,4
ICN_G03,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,179,5,0,0,0,0,0,16,38,0,0,316,73,0,0,0,59,413,0,35,0,0,0,0,1439,0,0,0,0,59,33,0,0,0,67,0,0,16,0,0,0,0,0,0,57,0,0,0,65,269,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,22,0,0,31,0,0,0,56077,0,0,0,0,0,0,0,0,0,2872,0,50,0,0,0,0,5,0,0,0,49,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,59,0,0,0,0,0,0,0,0,0,87,19,804,70,317,0,0,0,0,256,0,0,42,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,216,0,50,0,0,26,0,0,348,179,0,420,0,0,0,23,0,3,0,117,81,0,0,0,733,0,0,0,0,0,0,70,0,0,0,0,0,0,0,21,0,0,349,0,0,0,306,0,15,0,48,55,67,0,197,0,0,10,0,0,0,0,0,55,0,0,0,0,0,0,0,0,125,0,62,0,0,159,0,25,258,0,0,31,0
ICN_G04,0,0,0,0,0,0,0,0,9,0,11,0,0,0,0,0,329,0,0,0,0,0,17,0,0,0,0,142,58,0,0,0,27,13,0,0,0,0,0,0,408,0,0,0,0,0,79,0,0,0,12,760,0,0,0,0,0,0,0,0,87,0,0,0,48,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,27,13,0,0,0,0,0,6325,13,0,0,0,0,0,0,0,0,170,0,0,0,0,0,221,0,0,0,0,0,198,0,0,0,0,0,0,0,1508,0,0,0,7181,7,0,0,98,0,0,0,5,34,308,0,119,0,10,0,0,0,0,0,0,0,378,0,0,5,209,0,204,0,0,19,0,100,0,0,0,0,18,14,0,0,0,12,0,0,26,11,0,0,0,12,0,0,0,27,0,0,37,0,0,12,0,0,25,9,1329,0,19,6,0,0,0,0,169,41,0,50,83,0,0,0,6816,44,0,5881,0,19,0,0,0,0,0,0,1280,0,0,16,0,15,0,0,0,0,33,16,0,0,78,0,235,0,931,0,0,0,0,17,211,0,63,0,0,0,0,0,0,0,0,0,0,0,45,731,0,0,0,0,0,0,195,10,0,414,15,0,39,0,7,0,0
ICN_G05,0,0,0,0,0,0,0,0,0,0,436,0,0,0,0,175,380,0,0,0,163,0,0,0,0,0,0,665,179,0,0,0,149,622,0,0,0,0,0,0,4317,0,0,0,0,378,75,0,0,0,87,0,0,0,0,0,0,0,0,0,356,0,0,0,409,39,0,69,0,0,0,0,0,0,0,0,0,0,181,0,205,179,0,0,0,0,0,0,41113,542,0,0,0,0,251,0,0,0,584,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,359,0,0,0,206,0,22,0,147,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,188,30,1298,0,727,0,9,0,189,171,0,0,0,0,0,0,0,83,0,101,0,104,261,0,0,0,0,101,0,190,0,197,0,0,0,0,0,0,0,0,0,188,324,236,0,0,0,85,0,0,993,214,0,191,0,0,0,0,185,0,0,427,111,77,0,0,0,0,0,0,102,0,0,327,0,0,0,0,177,0,101,0,0,0,3641,0,0,0,1076,0,62,0,241,774,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,220,1356,0,0,257,0,0,0,0
ICN_G06,30,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,65,6,0,0,0,24,0,0,0,0,0,123,28,0,0,0,6,134,0,0,0,0,0,12,457,0,0,0,0,0,0,0,0,0,0,11,656,0,0,0,0,0,0,0,0,0,28,0,18,50,0,0,0,11,0,0,0,0,21,0,515,0,1006,0,26,30,12,0,0,0,0,0,6028,38,0,0,0,0,0,30,0,0,253,0,19,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,8,0,12,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,35,0,223,0,780,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,15,0,0,0,0,0,0,49,0,0,0,0,0,0,0,605,0,0,9,0,0,107,0,197,42,0,0,0,0,0,0,10846,58,0,6247,49,0,0,0,0,0,0,0,44,10,0,83,0,0,0,0,0,0,5,35,0,0,801,25,0,0,416,91,0,0,0,0,2632,0,0,14,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,25,0,0,1461,0,0,62,0,0,0,0
ICN_G07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,129,13,0,0,0,0,0,0,0,0,0,195,72,0,0,0,0,61,0,0,0,0,0,70,616,0,0,0,0,49,26,0,0,0,114,0,0,0,0,0,0,0,0,0,26,0,0,0,193,0,0,0,0,2,0,0,25,37,20,0,0,0,0,0,0,47,0,0,0,0,0,0,73398,105,0,0,0,0,178,0,0,0,136,0,0,0,0,0,0,0,0,0,0,54,23,0,45,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,44,0,211,0,262,0,0,34,0,104,0,14,0,0,30,0,0,0,0,11,0,33,10,13,0,0,0,31,0,0,0,0,0,0,31,0,0,104,33,50,0,0,61,0,0,0,0,0,0,50,64,64,0,12,0,0,0,0,10,0,0,165,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,13,98,0,42,0,31,129,14,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,101,0,84,42,0,30,0,0
AF_G01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12428,0,0,0,71,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,36,0,0,23,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3503,0,0,0,0,0,0,25,0,0,3181,0,0,0,0,0,0,0,0,0,0,0,13,0,56,0,18,0,0,0,0,174,0,570,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,149,260,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,16,0,0,10,0,0,0,10,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,8,1784,0,0,0,8,0,0,15,0,0,4987,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,332,0,0,281,0,46,0,0,0,0,247,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,8,0,0,23043,0,0,0,0,0,0,0
AF_G02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3139,0,0,0,767,0,0,0,0,0,0,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885,117,0,50,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,209,0,33,938,0,0,0,13,0,0,0,0,0,0,0,20,0,91,0,0,0,0,0,0,72,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,46,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,190,0,0,0,0,0,0,0,0,0,0,459,0,0,0,18,0,0,14,0,0,3093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,8,382,0,379,0,0,0,0,89,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10034,0,0,0,0,0,0,0
AF_G03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2448,0,0,0,498,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,663,0,0,41,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2092,0,0,0,0,0,0,993,0,7,1313,0,0,0,34,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,19,0,132,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,496,0,31,39,0,0,0,0,9,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,2,0,0,780,0,0,0,0,0,0,0,0,0,2073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,119,0,180,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,9122,0,0,0,0,0,0,0
