# File S4. Bacterial family Coracle output.,,,,,,,,,,,,,
,score,l1_rfr,l1_lasso_rfr,l1_alasso_rfr,l1_cfs_rfr,clr_rfr,clr_lasso_rfr,clr_alasso_rfr,clr_cfs_rfr,l1_lasso_coef,l1_alasso_coef,clr_lasso_coef,clr_alasso_coef
R2,,0.55,0.55,0.55,0.49,0.58,0.53,0.52,0.52,0,0,0.65,0.47
MSE,,1.2,1.2,1.2,1.3,1.1,1.2,1.3,1.3,3,3.2,0.93,1.4
Intercept,,,,,,,,,,30,27,36,37
Microbacteriaceae,0.097,0.057,0,0.12,0,0.097,0.45,0.43,0.29,0,2e-05,-0.34,-0.64
Alteromonadaceae,0.072,0.038,0.59,0.094,0.4,0.024,0,0,0.11,11,16,0,0
Parvularculaceae,0.03,0.0072,0,0,0,0.034,0.21,0.22,0.14,0,0,0.011,0.12
Marinobacteraceae,0.03,0.041,0,0.08,0,0.035,0.17,0.19,0,0,3.4e-05,0.18,-0.085
Moraxellaceae,0.017,0.065,0,0,0.31,0.022,0,0,0.14,0,0,0,0
Simkaniaceae,0.016,0.0082,0.039,0.024,0,0.0041,0.07,0.096,0,11,13,0.044,0.15
Burkholderiaceae,0.011,0.14,0,0.14,0,0.034,0,0,0,0,7.3e-05,0,0
Vibrionaceae,0.0078,0.027,0.072,0.066,0,0.018,0,0,0,5.4,7.1,0,0
Hyphomonadaceae,0.0078,0.022,0.12,0.026,0,0.015,0,0,0,-30,-1.10E+02,0,0
Rhodothermaceae,0.0068,0.0014,0,0,0,0.0051,0.094,0.063,0,0,0,0.041,0.19
Micrococcaceae,0.0068,0.045,0,0.11,0,0.04,0,0,0,0,-1.00E-05,0,0
Rhodobacteraceae,0.0047,0.0081,0.043,0.019,0,0.00029,0,0,0.022,16,32,0,0
Flavobacteriaceae,0.004,0.015,0.045,0.025,0,0.0085,0,0,0,-3.7,-10,0,0
Clostridiaceae_1,0.0036,0.00093,0.027,0.0051,0,0.0087,0,0,0.03,2.2,18,0,0
Pirellulaceae,0.0031,0.035,0,0.011,0,0.042,0,0,0,0,-1.10E-05,0,0
Endozoicomonadaceae,0.003,0.012,0.031,0.025,0,0.0023,0,0,0,5,8.1,0,0
Chitinophagaceae,0.0029,0.022,0,0,0.084,0.015,0,0,0,0,0,0,0
Marinomonadaceae,0.0027,0.034,0,0,0,0.015,0,0,0.06,0,0,0,0
Micavibrionaceae,0.0026,0.013,0,0.049,0,0.013,0,0,0,0,2.7e-05,0,0
Shewanellaceae,0.0022,0.038,0,0,0,0.084,0,0,0,0,0,0,0
Clade_I,0.002,0.001,0,0,0.086,0.00087,0,0,0,0,0,0,0
Streptococcaceae,0.002,0.014,0,0,0,0.00046,0,0,0.066,0,0,0,0
Propionibacteriaceae,0.0017,0.0016,0,0.048,0,0.00074,0,0,0,0,1e-05,0,0
Parachlamydiaceae,0.0017,3.2e-05,0,0,0.034,0.00017,0,0,0.021,0,0,0,0
Pseudoalteromonadaceae,0.0017,0.012,0,0.037,0,0.0013,0,0,0,0,3.2e-05,0,0
Nitrincolaceae,0.0016,0.014,0,0.031,0,0.0028,0,0,0,0,1.1e-05,0,0
Beijerinckiaceae,0.0016,0.0066,0,0.03,0,0.0083,0,0,0,0,1e-05,0,0
Bacillaceae,0.0015,0.07,0,0,0,0.016,0,0,0,0,0,0,0
Calditrichaceae,0.0014,1.4e-05,0,0,0.035,0.00091,0,0,0.011,0,0,0,0
Nocardiaceae,0.0013,3.3e-06,0,0,0,0.07,0,0,0,0,0,0,0
Caulobacteraceae,0.0013,0.0071,0,0,0.044,0.0027,0,0,0,0,0,0,0
Staphylococcaceae,0.0013,0.016,0,0.0039,0,0.016,0,0,0,0,1.1e-05,0,0
Family_XII,0.0013,0.0041,0.014,0.0075,0,0.0033,0,0,0,12,18,0,0
Parvibaculaceae,0.0012,5.4e-05,0,0,0,0.0002,0,0,0.051,0,0,0,0
Enterobacteriaceae,0.0012,0.00057,0,0,0,0.067,0,0,0,0,0,0,0
Ilumatobacteraceae,0.0012,0.00091,0.025,0.0015,0,0.001,0,0,0,-2.9,-3.9,0,0
Ruminococcaceae,0.0012,0.023,0,0,0,0.042,0,0,0,0,0,0,0
Halomonadaceae,0.001,0.0087,0,0,0,0.0016,0,0,0.03,0,0,0,0
Saccharospirillaceae,0.00063,0.001,0,0.017,0,0.00065,0,0,0,0,1.7e-05,0,0
Idiomarinaceae,0.00062,0.024,0,0,0,0.011,0,0,0,0,0,0,0
Dietziaceae,0.00062,0.02,0,0,0,0.015,0,0,0,0,0,0,0
Colwelliaceae,0.00059,0.017,0,0,0,0.016,0,0,0,0,0,0,0
Rhizobiaceae,0.00052,0.003,0,0.0077,0,0.0043,0,0,0,0,-0.00031,0,0
Xanthomonadaceae,0.00044,0.015,0,0,0,0.0097,0,0,0,0,0,0,0
Saprospiraceae,0.00044,0.021,0,0,0,0.0046,0,0,0,0,0,0,0
Stappiaceae,0.00034,0.0023,0,0.0075,0,0.00015,0,0,0,0,-7.10E-05,0,0
Bacteriovoracaceae,0.00032,0.00047,0,0.0072,0,0.0016,0,0,0,0,1.7e-05,0,0
Chlamydiaceae,0.00031,0.0004,0,0,0,0.00055,0,0,0.012,0,0,0,0
Sporichthyaceae,0.00031,0.00066,0,0,0,0.016,0,0,0,0,0,0,0
Corynebacteriaceae,0.00029,0.0011,0,0,0,0.015,0,0,0,0,0,0,0
Actinomycetaceae,0.00028,0.00069,0,0,0,0.015,0,0,0,0,0,0,0
Methylophilaceae,0.00028,0.0091,0,0,0,0.0069,0,0,0,0,0,0,0
Oceanibaculaceae,0.00023,0.0015,0,0,0,9.5e-05,0,0,0.0079,0,0,0,0
Methyloligellaceae,0.00023,0.0059,0,0,0,0.0069,0,0,0,0,0,0,0
Halieaceae,0.00022,0.0027,0,0.0029,0,0.00068,0,0,0,0,-1.10E-05,0,0
Oleiphilaceae,0.00019,0.00093,0,0,0,0.0098,0,0,0,0,0,0,0
Nitrosococcaceae,0.00018,0.00053,0,0,0,0.0093,0,0,0,0,0,0,0
