# File S5. Bacterial ASV abundance table of top5 high-scoring families for 28 coral colonies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASV0004,ASV0006,ASV0010,ASV0017,ASV0019,ASV0020,ASV0021,ASV0023,ASV0024,ASV0025,ASV0027,ASV0035,ASV0040,ASV0055,ASV0061,ASV0088,ASV0098,ASV0101,ASV0102,ASV0108,ASV0111,ASV0114,ASV0120,ASV0144,ASV0146,ASV0162,ASV0198,ASV0209,ASV0252,ASV0256,ASV0270,ASV0284,ASV0299,ASV0310,ASV0338,ASV0342,ASV0343,ASV0354,ASV0361,ASV0379,ASV0392,ASV0400,ASV0404,ASV0421,ASV0429,ASV0445,ASV0448,ASV0473,ASV0511,ASV0516,ASV0549,ASV0579,ASV0658,ASV0749,ASV0755,ASV0759,ASV0779,ASV0781,ASV0783,ASV0801,ASV0850,ASV0854,ASV0911,ASV0926,ASV0974,ASV0979,ASV0982,ASV0986,ASV1021,ASV1023,ASV1044,ASV1115,ASV1118,ASV1130,ASV1176,ASV1241,ASV1274,ASV1282,ASV1294,ASV1298,ASV1313,ASV1314,ASV1326,ASV1340,ASV1354,ASV1380,ASV1381,ASV1392,ASV1423,ASV1445,ASV1480,ASV1493,ASV1498,ASV1505,ASV1530,ASV1531,ASV1559,ASV1562,ASV1576,ASV1582,ASV1605,ASV1606,ASV1687,ASV1721,ASV1726,ASV1734,ASV1763,ASV1780,ASV1815,ASV1823,ASV1866,ASV1879,ASV1910,ASV1959,ASV1996,ASV1997,ASV2026,ASV2036,ASV2100,ASV2101,ASV2107,ASV2108,ASV2109,ASV2142,ASV2149,ASV2150,ASV2176,ASV2198,ASV2232,ASV2241,ASV2242,ASV2243,ASV2260,ASV2275,ASV2311,ASV2352,ASV2370,ASV2395,ASV2396,ASV2397,ASV2440,ASV2441,ASV2442,ASV2445,ASV2457,ASV2481,ASV2504,ASV2523,ASV2572,ASV2573,ASV2574,ASV2586,ASV2639,ASV2640,ASV2641,ASV2682,ASV2700,ASV2701,ASV2717,ASV2756,ASV2777,ASV2778,ASV2779,ASV2780,ASV2781,ASV2825,ASV2844,ASV2857,ASV2858,ASV2860,ASV2881,ASV2910,ASV2939,ASV2943,ASV3000,ASV3008,ASV3035,ASV3038,ASV3066,ASV3067,ASV3089,ASV3091,ASV3111,ASV3242,ASV3243,ASV3245,ASV3269,ASV3363,ASV3364,ASV3400,ASV3477,ASV3478,ASV3517,ASV3608,ASV3609,ASV3675,ASV3722,ASV3723,ASV3724,ASV3725,ASV3831,ASV3832,ASV3869,ASV3870,ASV3872,ASV3874,ASV3916,ASV3971,ASV4021,ASV4022,ASV4062,ASV4069,ASV4120,ASV4162,ASV4164,ASV4165,ASV4166,ASV4303,ASV4310,ASV4311,ASV4312,ASV4313,ASV4442,ASV4444,ASV4486,ASV4559,ASV4561,ASV4562,ASV4569,ASV4570,ASV4571,ASV4572,ASV4573,ASV4574,ASV4576,ASV4577,ASV4649,ASV4662
ICN_G01,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,26,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICN_G02,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,63,0,0,0,0,0,17,0,0,0,0,0,0,0,0,9,0,0,0,33,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICN_G03,0,80,38,0,0,0,0,0,0,0,0,0,0,0,0,61,0,470,0,0,0,0,0,177,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,35,0,13,90,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,41,0,0,0,0,0,35,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICN_G04,198,0,85,0,0,0,43,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,42,0,0,0,0,0,30,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ICN_G05,215,0,0,0,89,0,0,76,0,0,0,0,0,0,0,0,0,489,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,291,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICN_G06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,95,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICN_G07,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,55,0,0,0,0,0,38,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
AF_G01,3307,636,556,1357,1015,204,1281,930,200,152,204,466,119,805,270,70,132,0,165,42,30,82,3,0,149,49,0,0,22,0,0,53,121,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,28,17,0,0,0,0,0,0,0,0,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF_G02,878,64,82,405,311,18,226,265,34,15,25,61,33,417,61,13,28,0,50,0,0,22,0,0,41,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF_G03,521,102,131,260,203,38,180,156,45,48,43,65,31,244,60,37,32,0,123,0,0,11,0,0,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
