# File S6. Coracle output of bacterial ASVs of top5 high-scoring families.,,,,,,,,,,,,,
,score,l1_rfr,l1_lasso_rfr,l1_alasso_rfr,l1_cfs_rfr,clr_rfr,clr_lasso_rfr,clr_alasso_rfr,clr_cfs_rfr,l1_lasso_coef,l1_alasso_coef,clr_lasso_coef,clr_alasso_coef
R2,,0.57,0.54,0.59,0.6,0.65,0.41,0.41,0.49,0.43,0.32,0.57,0.52
MSE,,1.1,1.2,1.1,1,0.92,1.5,1.6,1.3,1.5,1.8,1.1,1.3
Intercept,,,,,,,,,,35,36,34,34
ASV0017,0.063,0.035,0,0.11,0.059,0.012,0.39,0.33,0.055,0,5.2e-05,0.36,0.23
ASV0020,0.061,0.012,0.19,0.078,0.075,0.0034,0.28,0.29,0,9.5,18,0.13,-0.16
ASV0114,0.039,0.37,0,0,0.55,0.025,0,0,0.12,0,0,0,0
ASV0024,0.023,0.032,0,0,0.027,0.0073,0.22,0.27,0,0,0,0.031,0.55
ASV0040,0.023,0.014,0.2,0.11,0,0.019,0,0,0.1,-2.1,-26,0,0
ASV0019,0.022,0.036,0.15,0.073,0.019,0.12,0,0,0,18,25,0,0
ASV0101,0.017,0.057,0.19,0.13,0,0.01,0,0,0,-7.2,-8,0,0
ASV2241,0.014,0.00022,0,0,0,0.12,0,0,0.44,0,0,0,0
ASV0004,0.01,0.029,0.078,0.052,0,0.068,0,0,0,-2.7,-4,0,0
ASV0256,0.01,0.035,0,0.12,0.068,0.0015,0,0,0,0,-0.00014,0,0
ASV0021,0.009,0.012,0.031,0.016,0,0.13,0,0,0,3.1,5,0,0
ASV0354,0.0074,0.0002,0,0,0,0.0089,0.11,0.11,0,0,0,-0.029,-0.35
ASV0088,0.0054,0.015,0,0.073,0,0.0036,0,0,0.032,0,2.8e-05,0,0
ASV0102,0.0052,0.04,0,0.077,0,0.024,0,0,0,0,1.8e-05,0,0
ASV0144,0.0048,0.0041,0.055,0.028,0,0.019,0,0,0,7.5,9.9,0,0
ASV0025,0.0034,0.019,0,0,0.086,0.016,0,0,0,0,0,0,0
ASV0006,0.0034,0.011,0.042,0.023,0,0.0013,0,0,0,4.8,5.8,0,0
ASV0098,0.0034,0.0038,0.05,0.022,0,0.0018,0,0,0,-19,-47,0,0
ASV0023,0.0028,0.024,0,0.052,0,0.00084,0,0,0,0,1.4e-05,0,0
ASV0392,0.0026,0.00043,0,0.0025,0,0.0017,0,0,0.06,0,1.2e-05,0,0
ASV0445,0.0023,0.0012,0,0,0.017,0.0038,0,0,0.047,0,0,0,0
ASV2682,0.0022,0.0016,0,0,0.0057,0.0036,0,0,0.059,0,0,0,0
ASV0061,0.0019,0.087,0,0,0,0.018,0,0,0,0,0,0,0
ASV0035,0.0017,0.018,0,0,0.042,0.00049,0,0,0,0,0,0,0
ASV2641,0.0017,0.0041,0,0.0037,0.011,0.016,0,0,0,0,2.7e-05,0,0
ASV0783,0.0015,0.00032,0,0,0,0.0014,0,0,0.063,0,0,0,0
ASV0926,0.0012,0.0044,0,0.003,0,0.0021,0,0,0.019,0,4.5e-05,0,0
ASV1118,0.0011,0.0023,0,0.0017,0.008,0.01,0,0,0,0,1.7e-05,0,0
ASV0749,0.00092,0.0031,0,0,0.02,0.0091,0,0,0,0,0,0,0
ASV0421,0.00082,0.0012,0,0.011,0,0.0096,0,0,0,0,-5.70E-05,0,0
ASV3517,0.00079,7.4e-05,0,0,0,0.039,0,0,0,0,0,0,0
ASV0162,0.00074,0.019,0,0,0,0.019,0,0,0,0,0,0,0
ASV0284,0.00074,0.014,0,0,0,0.024,0,0,0,0,0,0,0
ASV0055,0.00071,0.0031,0,0.015,0,0.0014,0,0,0,0,0.00013,0,0
ASV0027,0.00066,0.025,0,0,0,0.01,0,0,0,0,0,0,0
ASV1606,0.00064,4.3e-06,0,5.5e-05,0,0.016,0,0,0,0,1.9e-05,0,0
ASV1392,0.00048,7.9e-05,0.00046,1.4e-05,0,0.009,0,0,0,3,2.7,0,0
